dataset,model,model_key,method,metric,real,mean_sim,std_sim,ci_low,ci_high,p_value,reject,n_sims
bio-CE-PG,Stochastic Block Model,SBM,LOCLBDG,C3_avg_local,0.1221576646808128,0.0959168821886004,0.0141749760645907,0.0695419198769203,0.1219572202490121,0.0792079207920792,False,100
bio-CE-PG,Stochastic Block Model,SBM,PARABDG,gcc,0.3208356459697971,0.3154718482058745,0.0884273990505759,0.1981849960805803,0.5659131669037348,0.9504950495049505,False,100
bio-CE-PG,Stochastic Block Model,SBM,PARABDG,alcc,0.4466932007590472,0.3543005484398334,0.0617712326208233,0.2580475260760128,0.4817833645816053,0.1782178217821782,False,100
bio-CE-PG,Stochastic Block Model,SBM,PARABDG,k4_count,9608852.0,12250424.08,15091346.423298448,2501791.7,73770490.64999996,0.8712871287128713,False,100
bio-CE-PG,Stochastic Block Model,SBM,PARABDG,k4_density,2.82372517268864e-05,5.044714524779878e-05,5.733804107722593e-05,9.328620024596763e-06,0.0002615581062506,0.7722772277227723,False,100
bio-CE-PG,Stochastic Block Model,SBM,PARABDG,C3_global,0.2465664397327217,0.3005118790429436,0.1309774185584922,0.1409317087171004,0.6968151422924757,0.6336633663366337,False,100
bio-CE-PG,Stochastic Block Model,SBM,PARABDG,C3_avg_local,0.1221576646808128,0.0824290367207186,0.0187203631105447,0.055103616965224,0.1309001018364494,0.099009900990099,False,100
bio-CE-PG,Kronecker,KR,EDGEIND,gcc,0.3208356459697971,0.0687163534683946,0.0007952778481171,0.0671819126719674,0.070205184915835,0.0198019801980198,True,100
bio-CE-PG,Kronecker,KR,EDGEIND,alcc,0.4466932007590472,0.1201210176985776,0.0022076329696031,0.1162224252545562,0.1254397176200962,0.0198019801980198,True,100
bio-CE-PG,Kronecker,KR,EDGEIND,k4_count,9608852.0,60349.45,4112.313891585769,53221.525,68271.775,0.0198019801980198,True,100
bio-CE-PG,Kronecker,KR,EDGEIND,k4_density,2.82372517268864e-05,8.31374674935738e-08,5.6723446020907454e-09,7.331108372966536e-08,9.424366730897675e-08,0.0198019801980198,True,100
bio-CE-PG,Kronecker,KR,EDGEIND,C3_global,0.2465664397327217,0.0145239109578117,0.0005884212181725,0.0134045813034375,0.0155535814314745,0.0198019801980198,True,100
bio-CE-PG,Kronecker,KR,EDGEIND,C3_avg_local,0.1221576646808128,0.0103222897118345,0.0005195689528704,0.0094267577520063,0.0113273318268324,0.0198019801980198,True,100
bio-CE-PG,Kronecker,KR,LOCLBDG,gcc,0.3208356459697971,0.179869588778754,0.1181207083381669,0.0734754718296578,0.5176986743877386,0.2574257425742574,False,100
bio-CE-PG,Kronecker,KR,LOCLBDG,alcc,0.4466932007590472,0.3035886204898507,0.067298719444676,0.1798494073770166,0.4253090576630784,0.0594059405940594,False,100
bio-CE-PG,Kronecker,KR,LOCLBDG,k4_count,9608852.0,21545701.17,61523906.69554512,35785.325000000004,247950297.0499991,0.396039603960396,False,100
bio-CE-PG,Kronecker,KR,LOCLBDG,k4_density,2.82372517268864e-05,4.459056959933473e-05,0.0001326466163561,1.2292082208564777e-07,0.0004887914367917,0.3168316831683168,False,100
bio-CE-PG,Kronecker,KR,LOCLBDG,C3_global,0.2465664397327217,0.1178574360795374,0.1127300225844223,0.0280908416852947,0.4331169757726106,0.2772277227722772,False,100
bio-CE-PG,Kronecker,KR,LOCLBDG,C3_avg_local,0.1221576646808128,0.0635340538607853,0.0242107447167611,0.0284054090375699,0.1220755548821094,0.0792079207920792,False,100
bio-CE-PG,Kronecker,KR,PARABDG,gcc,0.3208356459697971,0.2649129518084834,0.0900002478863528,0.1351436201860519,0.4428095544133021,0.4158415841584158,False,100
bio-CE-PG,Kronecker,KR,PARABDG,alcc,0.4466932007590472,0.4696579363462787,0.0433198911741389,0.3785584096072348,0.546729799532114,0.5346534653465347,False,100
bio-CE-PG,Kronecker,KR,PARABDG,k4_count,9608852.0,11049193.93,13553627.020667808,437289.475,52700433.04999994,0.7722772277227723,False,100
bio-CE-PG,Kronecker,KR,PARABDG,k4_density,2.82372517268864e-05,2.884111005992916e-05,3.96594686268782e-05,1.3548050067152057e-06,0.0001342240531902,0.6138613861386139,False,100
bio-CE-PG,Kronecker,KR,PARABDG,C3_global,0.2465664397327217,0.2441203527549931,0.1239407954578329,0.0858047614624097,0.538052356571856,0.8514851485148515,False,100
bio-CE-PG,Kronecker,KR,PARABDG,C3_avg_local,0.1221576646808128,0.1238145477101669,0.0176513444191519,0.0895293689376042,0.1549552409683305,0.8910891089108911,False,100
bio-SC-HT,Erdős–Rényi,ER,EDGEIND,gcc,0.376593975509509,0.0292461409527915,0.0001923975472974,0.0288595214449704,0.0295994124235653,0.0198019801980198,True,100
bio-SC-HT,Erdős–Rényi,ER,EDGEIND,alcc,0.3502090626628194,0.0292479167164281,0.0001930140401848,0.0288462936993891,0.0296171830201184,0.0198019801980198,True,100
bio-SC-HT,Erdős–Rényi,ER,EDGEIND,k4_count,26302487.0,485.96,26.54666940626745,438.425,553.0999999999999,0.0198019801980198,True,100
bio-SC-HT,Erdős–Rényi,ER,EDGEIND,k4_density,3.401867212812725e-05,6.285228430066221e-10,3.433448869780258e-11,5.670428171972553e-10,7.153592568667434e-10,0.0198019801980198,True,100
bio-SC-HT,Erdős–Rényi,ER,EDGEIND,C3_global,0.3085114262760843,0.0008594603661912,3.810482023195468e-05,0.0007907059114854,0.0009427634121676,0.0198019801980198,True,100
bio-SC-HT,Erdős–Rényi,ER,EDGEIND,C3_avg_local,0.1109500366286496,0.0002756101599232,1.2415197716384222e-05,0.0002544551388993,0.0003057821145968,0.0198019801980198,True,100
bio-SC-HT,Erdős–Rényi,ER,LOCLBDG,gcc,0.376593975509509,0.4426724118418454,0.12743035810927936,0.17500977041629132,0.6561585699964179,0.6336633663366337,False,100
bio-SC-HT,Erdős–Rényi,ER,LOCLBDG,alcc,0.3502090626628194,0.2394470037259782,0.06857856833973859,0.10001356930093593,0.3630903496366213,0.1188118811881188,False,100
bio-SC-HT,Erdős–Rényi,ER,LOCLBDG,k4_density,3.401867212812725e-05,0.00010472612377517412,0.00010190153522409199,4.5784088119546614e-07,0.0003756099484375272,0.6138613861386139,False,100
bio-SC-HT,Erdős–Rényi,ER,LOCLBDG,C3_global,0.3085114262760843,0.4212257123512985,0.1721502245785508,0.06768958898229462,0.7213998074150828,0.5544554455445545,False,100
bio-SC-HT,Erdős–Rényi,ER,PARABDG,gcc,0.376593975509509,0.5599109960189448,0.04382308996199555,0.49420663249508806,0.6509756285833515,0.019801980198019802,True,100
bio-SC-HT,Erdős–Rényi,ER,PARABDG,alcc,0.3502090626628194,0.7937377872169584,0.034776787973446334,0.7329814433259944,0.8620080895804726,0.019801980198019802,True,100
bio-SC-HT,Erdős–Rényi,ER,PARABDG,k4_density,3.401867212812725e-05,0.0002141414909965677,8.897196239834961e-05,0.00012741173833590044,0.000416213324140413,0.019801980198019802,True,100
bio-SC-HT,Erdős–Rényi,ER,PARABDG,C3_global,0.3085114262760843,0.5242283194964158,0.050573508661494807,0.4481456539833772,0.6284718832226116,0.019801980198019802,True,100
bio-SC-HT,Chung–Lu,CL,EDGEIND,gcc,0.376593975509509,0.23951196740156405,0.001057174520510964,0.2374223450553934,0.24133561707278253,0.019801980198019802,True,100
bio-SC-HT,Chung–Lu,CL,EDGEIND,alcc,0.3502090626628194,0.23217173194444554,0.0033100000151524487,0.22650468247288982,0.23897091973352105,0.019801980198019802,True,100
bio-SC-HT,Chung–Lu,CL,EDGEIND,k4_density,3.401867212812725e-05,1.3445459458915966e-05,2.790410046628219e-07,1.295322485953273e-05,1.3982501149737222e-05,0.019801980198019802,True,100
bio-SC-HT,Chung–Lu,CL,EDGEIND,C3_global,0.3085114262760843,0.16441695959639627,0.0013178049142228865,0.16177269864191562,0.166382637120628,0.019801980198019802,True,100
bio-SC-HT,Chung–Lu,CL,LOCLBDG,gcc,0.376593975509509,0.3163841508948713,0.021122242101400186,0.2762248604571722,0.35352880365375167,0.019801980198019802,True,100
bio-SC-HT,Chung–Lu,CL,LOCLBDG,alcc,0.3502090626628194,0.4674825956004493,0.045410665303550916,0.38329319446166255,0.564862050867913,0.019801980198019802,True,100
bio-SC-HT,Chung–Lu,CL,LOCLBDG,k4_density,3.401867212812725e-05,9.684141841221615e-05,3.7617051069123644e-05,4.462272799828738e-05,0.00019417078753311895,0.0594059405940594,False,100
bio-SC-HT,Chung–Lu,CL,LOCLBDG,C3_global,0.3085114262760843,0.2172808653312965,0.02243244649780295,0.17915497837191477,0.2632410190266185,0.019801980198019802,True,100
bio-SC-HT,Chung–Lu,CL,PARABDG,gcc,0.376593975509509,0.2958187161932288,0.06981750081663372,0.24055380829255052,0.406137733614124,0.07920792079207921,False,100
bio-SC-HT,Chung–Lu,CL,PARABDG,alcc,0.3502090626628194,0.6104156442410699,0.0360481748555402,0.5136776150767384,0.6646315003304808,0.019801980198019802,True,100
bio-SC-HT,Chung–Lu,CL,PARABDG,k4_density,3.401867212812725e-05,8.186660203238565e-05,0.0002773365666910628,2.2571023452139768e-05,0.000505532204866804,0.9108910891089109,False,100
bio-SC-HT,Chung–Lu,CL,PARABDG,C3_global,0.3085114262760843,0.20637053637363828,0.09953994060550334,0.15445744324551977,0.38065941223818955,0.09900990099009901,False,100
bio-SC-HT,Stochastic Block Model,SBM,EDGEIND,gcc,0.376593975509509,0.2719193194529312,0.0012524318129750365,0.26945817860033217,0.2739971054097844,0.019801980198019802,True,100
bio-SC-HT,Stochastic Block Model,SBM,EDGEIND,alcc,0.3502090626628194,0.12801947936420643,0.0011164095006284843,0.1259752765782575,0.13020209127261703,0.019801980198019802,True,100
bio-SC-HT,Stochastic Block Model,SBM,EDGEIND,k4_density,3.401867212812725e-05,1.1464345254851617e-05,2.5467374074582517e-07,1.0967619825310625e-05,1.1922374084151665e-05,0.019801980198019802,True,100
bio-SC-HT,Stochastic Block Model,SBM,EDGEIND,C3_global,0.3085114262760843,0.1703937626745345,0.001797672906610261,0.16698188581335943,0.17405846611207174,0.019801980198019802,True,100
bio-SC-HT,Stochastic Block Model,SBM,LOCLBDG,gcc,0.376593975509509,0.35030470542867853,0.0354745084750474,0.29970131768681857,0.4549281706601858,0.27722772277227725,False,100
bio-SC-HT,Stochastic Block Model,SBM,LOCLBDG,alcc,0.3502090626628194,0.38760739671977795,0.04196724501307301,0.3074971190703668,0.458671347315122,0.43564356435643564,False,100
bio-SC-HT,Stochastic Block Model,SBM,LOCLBDG,k4_density,3.401867212812725e-05,0.00014080207722374808,9.541209663499702e-05,4.3152907637625034e-05,0.0003781334922181731,0.039603960396039604,True,100
bio-SC-HT,Stochastic Block Model,SBM,LOCLBDG,C3_global,0.3085114262760843,0.23912202123653903,0.05724192525975447,0.1872598855684193,0.4366464114340563,0.21782178217821782,False,100
bio-SC-HT,Stochastic Block Model,SBM,PARABDG,gcc,0.376593975509509,0.34107200474476534,0.046602456271335475,0.289578834520576,0.44993431211799456,0.43564356435643564,False,100
bio-SC-HT,Stochastic Block Model,SBM,PARABDG,alcc,0.3502090626628194,0.4409010094180558,0.03243348768021909,0.38992305033008506,0.5187736127018333,0.019801980198019802,True,100
bio-SC-HT,Stochastic Block Model,SBM,PARABDG,k4_density,3.401867212812725e-05,7.020557292431835e-05,5.0976792511143375e-05,3.190916390169381e-05,0.00020251253650828156,0.09900990099009901,False,100
bio-SC-HT,Stochastic Block Model,SBM,PARABDG,C3_global,0.3085114262760843,0.2631178848742293,0.09685258043782789,0.1800829343262485,0.4977226083648624,0.4752475247524752,False,100
bio-SC-HT,Kronecker,KR,EDGEIND,gcc,0.376593975509509,0.032813122680129606,0.000424344128526728,0.03206788323803186,0.03361128811260755,0.019801980198019802,True,100
bio-SC-HT,Kronecker,KR,EDGEIND,alcc,0.3502090626628194,0.052575391766028726,0.001420731255860078,0.05006570285703504,0.05577563467116784,0.019801980198019802,True,100
bio-SC-HT,Kronecker,KR,EDGEIND,k4_density,3.401867212812725e-05,6.72304210352237e-10,5.626977038659179e-11,5.735867629647133e-10,7.697924328912298e-10,0.019801980198019802,True,100
bio-SC-HT,Kronecker,KR,EDGEIND,C3_global,0.3085114262760843,0.004947420246096974,0.0002848046262782584,0.004372414779175881,0.005417635567600874,0.019801980198019802,True,100
