n_nodes,n_edges,triangles,gcc,alcc,k4,C3,model,method
120,67,3,0.04072398190045249,0.1251624719366655,0.0,0.0,Kronecker,dropout
120,7,0,0.0,0.0,0.0,0.0,Kronecker,degree_bias
120,14,0,0.0,0.0,0.0,0.0,Kronecker,degree_bias
120,10,0,0.0,0.0,0.0,0.0,Kronecker,degree_bias
120,10,0,0.0,0.0,0.0,0.0,Kronecker,degree_bias
120,14,1,0.2,0.35000000000000003,0.0,0.0,Kronecker,degree_bias
120,11,0,0.0,0.0,0.0,0.0,Kronecker,degree_bias
120,6,0,0.0,0.0,0.0,0.0,Kronecker,degree_bias
120,13,0,0.0,0.0,0.0,0.0,Kronecker,degree_bias
120,10,0,0.0,0.0,0.0,0.0,Kronecker,degree_bias
120,11,0,0.0,0.0,0.0,0.0,Kronecker,degree_bias
4039,88234,1612010,0.5191742775433075,0.6170038336292958,0.0,0.0,Facebook,base
4039,44123,200468,0.2590736562958917,0.3024541553318016,0.0,0.0,Facebook,dropout
4039,4777,892,0.02508248350329934,0.07484323266078231,0.0,0.0,Facebook,degree_bias
